id,lcd,pld,void_fraction,surface_area_m2cm3,pressure_2.5(bar)
hMOF-1000002,1.874264967,1.599816918,4.513267902,3.232680066,1.055880373
hMOF-1000004,1.874264967,1.599816918,4.328546151,3.358655285,1.086125615
hMOF-1000006,1.753344647,1.599816918,4.626598949,3.15081669,1.099161773
hMOF-1000010,1.874264967,1.599816918,4.328310491,3.344908804,1.027536851
hMOF-1000011,1.753344647,1.599816918,4.585522693,3.129273696,1.069447472
hMOF-1000014,1.874264967,1.599816918,4.450353817,3.199442304,1.040989569
hMOF-1000016,1.874264967,1.599816918,4.572104354,3.194518191,1.05675267
hMOF-1000021,1.390583685,1.244302048,3.144890132,2.339569103,0.933601138
hMOF-1000022,1.874264967,1.718321875,4.398537177,3.821316719,1.152893277
hMOF-1000025,1.874264967,1.599816918,4.279993045,3.383275849,0.937150931
hMOF-1000027,1.753344647,1.481311961,3.938450262,3.531204405,1.036161783
hMOF-1000028,1.874264967,1.599816918,4.410527274,3.547823286,1.116660575
hMOF-1000029,1.874264967,1.718321875,4.920738362,3.472115051,1.13709679
hMOF-1000032,1.753344647,1.362807005,4.527671728,3.356808743,1.089800561
hMOF-1000036,2.841627531,2.666361531,5.267515655,3.377736222,1.078755361
hMOF-1000038,2.841627531,2.547856574,5.503554161,3.322134782,1.165082918
hMOF-1000048,2.841627531,2.666361531,5.42275848,3.271662625,1.114677663
hMOF-1000051,1.874264967,1.599816918,4.910690676,3.892921526,1.09876715
hMOF-1000055,1.995185287,1.718321875,4.554387005,3.747249855,0.918268914
hMOF-1000056,3.083468172,2.903371444,5.132118261,3.8379356,1.005520737
hMOF-1000058,1.874264967,1.481311961,4.795795703,3.97457973,1.143542982
hMOF-1000062,1.753344647,1.481311961,4.748835088,4.089680868,1.120326374
hMOF-1000065,1.632424326,1.244302048,4.311764301,3.722834463,1.100262605
hMOF-1000066,2.72070721,2.547856574,5.456579263,3.493658045,1.004098018
hMOF-1000075,2.841627531,2.547856574,4.657399,3.531819919,0.890886453
hMOF-1000076,2.59978689,2.31084666,5.339449091,3.570392136,1.049080707
hMOF-1000078,3.446229133,3.258886315,5.597375415,3.371170739,0.939057478
hMOF-1000080,3.567149453,3.258886315,5.62673294,3.226935267,1.019040743
