id,lcd,pld,void_fraction,surface_area_m2cm3,pressure_2.5(bar)
sdv-id-0,3.036759184,2.784457176,6.007545436,3.861823576,0.62220925
sdv-id-1,1.83995341,1.210207153,4.671189691,3.61015931,1.054537139
sdv-id-2,2.620401171,1.819342198,4.883504112,2.547021841,0.378228804
sdv-id-3,1.775953639,1.720503069,5.039513052,4.69100839,1.018116209
sdv-id-4,1.666224568,1.576467082,5.470821401,3.170497442,1.177341122
sdv-id-5,2.042679963,1.902335403,5.182484674,2.684091213,0.882292444
sdv-id-6,1.284192096,1.337485075,3.938758698,4.086474252,0.940579255
sdv-id-7,1.44225788,1.436787202,3.909111017,3.594794358,0.845428785
sdv-id-8,2.661055163,1.494750745,5.943820597,5.392266425,1.181067201
sdv-id-9,2.367021629,1.765312645,5.580540381,4.829128259,1.050556874
sdv-id-10,2.645067957,2.028471947,5.160409868,4.587263176,0.916762453
sdv-id-11,2.373774392,1.137992321,4.794721786,3.45521476,0.796313492
sdv-id-12,2.261118171,2.189825587,3.774894269,2.121371516,0.758365774
sdv-id-13,2.961128178,2.148165231,5.741651034,3.977913148,0.77778331
sdv-id-14,1.699096658,1.116792283,3.81909383,3.582860229,1.19960297
sdv-id-15,3.735650912,3.62291415,6.105536365,5.972058077,1.023097017
sdv-id-16,4.14031047,3.873972947,5.742684487,4.513583398,0.449466276
sdv-id-17,1.702489584,1.720400497,4.803344311,4.340589496,0.840334465
sdv-id-18,1.805492646,1.835751566,4.880322377,3.165675187,0.875615814
sdv-id-19,1.209136214,1.010578579,3.067636767,3.50722924,1.086606885
sdv-id-20,1.475614346,1.18765418,3.427042964,1.859924415,1.155354203
sdv-id-21,1.546879794,1.149283019,3.471267241,4.189491241,1.103307396
sdv-id-22,1.150023859,1.00814708,2.123408149,3.062594961,0.921559861
sdv-id-23,1.897075274,1.192471959,5.384621535,2.210274434,1.096584615
sdv-id-24,3.472303671,1.929063551,5.839303201,5.019833378,1.078743334
sdv-id-25,1.148295163,1.00754785,1.036818401,4.01681513,1.179317767
sdv-id-26,4.475632987,3.149749067,6.247820019,3.835137115,1.013598506
sdv-id-27,1.448151396,1.299831369,3.335675916,2.629828727,1.071802674
sdv-id-28,3.281219833,3.970683064,6.104480094,5.800364657,1.06117093
sdv-id-29,1.887947482,1.90758139,5.330548567,5.201621075,1.262417457
sdv-id-30,3.733126166,1.763729003,6.123940221,5.190596178,0.770234724
sdv-id-31,1.628454473,1.014543163,4.571252016,3.291279438,0.902287215
sdv-id-32,4.059285473,4.255781927,6.484957461,4.852707074,1.041959997
sdv-id-33,1.450172735,1.160991641,3.659375053,3.943941229,1.25142186
sdv-id-34,2.724657698,1.809414314,5.156324829,5.821100737,1.179209365
sdv-id-35,3.984277704,2.525208852,6.121638318,4.040407069,0.754339818
sdv-id-36,5.900578481,4.654914049,6.646555127,4.905290298,0.38624514
sdv-id-37,2.477460597,2.882364448,5.258154044,4.357652504,0.992141802
sdv-id-38,3.226107008,3.505591987,5.778781858,4.752251748,1.220315866
sdv-id-39,2.742996141,1.43112788,6.110722276,4.362481136,0.672858801
sdv-id-40,5.555985851,5.865995367,6.708149492,4.206788041,0.513285132
sdv-id-41,1.627209901,1.154355394,5.083300038,4.687309286,0.917809849
sdv-id-42,1.29406982,1.106272701,3.029006707,2.629071838,1.194479472
sdv-id-43,1.195892137,1.015952712,3.462016265,3.711271451,1.201649179
sdv-id-44,1.677674379,1.373528417,4.990679655,5.087577255,0.996575412
sdv-id-45,1.93152622,1.30365897,4.613728263,2.322443585,0.587987965
sdv-id-46,3.843970163,2.214576905,6.022514545,4.939393139,0.848465702
sdv-id-47,5.570813241,4.93578568,6.80783367,4.653604126,0.740369353
sdv-id-48,1.950039632,1.849827768,5.08251524,3.094916662,1.01415305
sdv-id-49,1.437799214,1.039434577,3.179418733,4.767778846,0.838692401
sdv-id-50,2.32194092,1.872976431,5.386772312,4.397829317,0.838200127
sdv-id-51,1.591979112,1.174303023,3.259802056,3.286812248,1.027938785
sdv-id-52,2.269475415,1.843924101,6.011811857,5.141029817,1.097040357
sdv-id-53,1.743535007,3.13024087,4.925499661,4.233143056,1.131912006
sdv-id-54,1.248996317,1.271778158,4.286143766,5.249380592,1.172936978
sdv-id-55,1.767925651,1.315834015,4.524211109,4.118422119,1.091750907
sdv-id-56,1.496805685,1.148754367,4.945090357,5.160604083,1.197275371
sdv-id-57,2.577208036,2.440263647,5.12146704,4.154016488,0.565677392
sdv-id-58,3.440150954,3.752384909,5.919159304,4.334465412,0.63464304
sdv-id-59,2.382162072,1.620456002,5.652927028,3.825116375,0.814899669
sdv-id-60,3.232187738,3.300696434,5.96768276,3.994378571,1.065816832
sdv-id-61,1.253993973,1.047740461,3.144061569,3.611295987,1.078216243
sdv-id-62,2.35157986,2.464494982,5.396506169,4.336665232,1.005069695
sdv-id-63,3.423538932,1.839912459,6.070651741,4.59736515,0.574286634
sdv-id-64,1.693872252,1.402737207,3.412917467,3.985354415,0.922576846
sdv-id-65,4.044439313,2.16792344,6.504880034,6.07915794,1.112106635
sdv-id-66,2.97959239,1.655683743,5.811097126,3.730839118,0.896812964
sdv-id-67,4.140410116,3.288650836,5.822594048,2.929629611,0.829013219
sdv-id-68,3.124787637,1.974627486,5.870237124,4.627282898,0.991403094
sdv-id-69,1.954949852,1.16927089,4.892376493,4.836781359,0.972298535
sdv-id-70,1.926921514,1.786287296,5.377240159,4.977971656,1.288697949
sdv-id-71,2.378175774,1.18447428,5.309095846,2.331430758,0.562513795
sdv-id-72,1.382720497,1.117095257,4.142027146,3.578499746,0.761109417
sdv-id-73,3.546773349,2.61141194,6.083150843,4.415084436,0.891892441
sdv-id-74,2.677913734,2.836403726,5.620339788,3.707441018,0.990533035
sdv-id-75,1.82514879,1.843535637,4.97138417,3.60367322,0.172727989
sdv-id-76,1.341461482,1.257557668,3.969076875,4.567296619,1.09141739
sdv-id-77,2.184211264,2.054781629,4.970210342,4.399890064,0.93612286
sdv-id-78,2.003040061,2.37981871,4.574900642,3.798028653,0.881082512
sdv-id-79,3.130994038,3.036796954,6.039976087,5.487077599,1.113518559
sdv-id-80,2.282796493,1.52393707,5.033083698,0.827773045,0.376123578
sdv-id-81,1.82428063,1.301431547,4.032617539,4.257578927,1.112228579
sdv-id-82,1.560720111,1.125868539,4.455621392,4.335884591,1.23214602
sdv-id-83,2.157918498,2.065746527,5.870359984,3.924553761,0.779600392
sdv-id-84,1.755133027,1.440915692,5.515042379,4.905238347,1.233404507
sdv-id-85,1.39940177,1.535652291,5.475351079,4.700389061,1.208020522
sdv-id-86,1.212445798,1.110398751,4.163710621,5.61308309,0.865737141
sdv-id-87,3.512712903,4.1905444,6.114968295,5.755862011,1.056224231
sdv-id-88,1.358803833,1.088231561,3.337748888,3.687381339,1.234801691
sdv-id-89,5.029941702,5.865995367,6.410629581,4.393418782,0.352578587
sdv-id-90,2.381323859,2.150615011,4.911692125,4.001047216,1.069189623
sdv-id-91,1.249008856,1.105402507,3.326418114,4.231999226,1.046663939
sdv-id-92,1.14029215,1.01132809,3.252982864,3.05422098,1.361733826
sdv-id-93,3.769932151,2.910727205,6.388821683,4.599874783,0.908230441
sdv-id-94,2.213476545,1.440147833,5.496388293,4.322179007,0.685309769
sdv-id-95,1.984531401,1.495009488,3.746928528,3.06342199,1.017881549
sdv-id-96,1.573629995,1.365747824,4.335716853,3.781847747,1.231229278
sdv-id-97,1.876727193,1.25081784,5.464936898,5.171798044,1.01753045
sdv-id-98,3.810956874,3.296117743,5.84832168,4.995450146,0.768972213
sdv-id-99,4.000049101,4.394431226,6.365008495,5.27593168,0.899333732
sdv-id-100,3.836432935,2.906656781,5.681331606,5.373961534,0.878427179
sdv-id-101,1.668993496,1.124459292,4.753684111,4.92403964,1.210482311
sdv-id-102,1.224936258,1.062137122,2.465270966,3.421302453,0.740493427
sdv-id-103,2.777532575,2.777967007,5.078217833,4.283848339,0.860446319
sdv-id-104,2.422382625,1.437317461,4.883173092,2.77519194,1.001862448
sdv-id-105,2.536070271,2.379547035,6.159151813,4.216559188,0.861839436
sdv-id-106,1.290952365,1.116321357,4.321525374,4.579215888,0.908915632
sdv-id-107,2.992777709,2.177895213,5.845368561,4.790817038,0.820200325
sdv-id-108,3.066567219,4.064193087,6.461675489,5.086050159,1.057053114
sdv-id-109,2.335416648,2.145323735,4.578362867,3.775279024,1.004481871
sdv-id-110,2.335066551,1.767696311,5.640115336,3.591182557,0.851729313
sdv-id-111,1.616793168,1.242889822,4.80239499,4.081336277,0.992317446
sdv-id-112,5.267668667,3.369947024,6.508104581,3.756116871,0.480215296
sdv-id-113,2.506384752,2.180580967,6.070377331,4.503823909,0.930016857
sdv-id-114,2.476376227,1.407397337,5.138570812,3.45695625,0.509551617
sdv-id-115,4.195827238,2.775392878,6.341399904,3.393304893,0.739551322
sdv-id-116,2.005106726,2.450073662,4.531747841,4.750680822,0.915619287
sdv-id-117,1.583305101,1.03691998,4.494853613,3.696342542,0.668276518
sdv-id-118,1.527459275,1.128768294,4.882292179,4.816314815,1.039394942
sdv-id-119,4.311473304,4.47947978,5.634757027,4.555376774,0.956822052
sdv-id-120,1.276778207,1.039850039,3.44229416,2.55978015,0.937881969
sdv-id-121,2.68793725,2.425074574,5.065930882,3.082417488,0.652466126
sdv-id-122,3.467478087,1.476988588,6.137879326,4.189253858,0.955766647
sdv-id-123,2.196903542,2.235940154,4.822864449,2.857032396,0.556123999
sdv-id-124,2.444738605,1.356080051,5.715520168,5.666498576,1.289661506
sdv-id-125,4.986231832,4.847014254,5.864121594,2.23034527,0.443060768
sdv-id-126,3.705396749,1.620073872,5.842713301,5.149766731,0.828637926
sdv-id-127,1.903360659,1.276958248,4.086379639,3.199783786,0.706106092
sdv-id-128,2.909387349,2.198102563,5.323037998,3.037671203,0.962420386
sdv-id-129,3.785509991,2.658813862,5.64891895,3.941559368,1.047432144
sdv-id-130,1.478449892,1.465416679,4.576258368,3.244033046,1.013365213
sdv-id-131,2.696947562,2.075036618,5.275980446,2.547315557,0.504275607
sdv-id-132,1.233758374,1.140172273,3.153107562,4.251007382,1.188577393
sdv-id-133,1.402537981,1.206528411,3.669911193,4.689018588,1.222351149
sdv-id-134,2.446972046,1.611494323,5.363372682,4.696704434,0.995861721
sdv-id-135,2.03640071,1.172283858,5.427131852,4.94764952,0.99012869
sdv-id-136,1.741190222,1.173778553,4.47940001,3.08726613,0.81627733
sdv-id-137,1.898414612,1.525692016,4.793842433,4.894423811,1.054215414
sdv-id-138,3.119021638,1.621550232,5.174379935,5.551938102,0.926525493
sdv-id-139,1.405942338,1.092642374,2.665343283,4.228486435,1.246771165
sdv-id-140,2.388622723,2.042052303,5.879207372,4.587899181,1.089374981
sdv-id-141,3.605407488,3.041650788,5.662534564,4.617017114,0.534650093
sdv-id-142,1.428666081,1.525384925,4.7761193,4.376713411,1.191927976
sdv-id-143,4.124948881,4.14164349,6.254323453,2.928322549,0.571719007
sdv-id-144,2.537673175,1.727645929,4.517266389,3.931910082,0.842135769
sdv-id-145,2.441792118,1.858597169,5.514956338,2.881051067,1.138889788
sdv-id-146,4.577895816,3.966453497,6.262438725,5.334593341,0.996650879
sdv-id-147,4.072133583,4.564436706,5.622316853,4.233313138,0.71022971
sdv-id-148,1.445806945,1.18013949,3.140302394,3.357661746,1.110071333
sdv-id-149,1.683859031,1.632957972,4.581808516,4.67088826,1.196607482
sdv-id-150,1.216610852,1.067707444,3.491310054,5.806219858,1.22844061
sdv-id-151,2.167956515,1.836541968,4.990519756,5.637738493,1.054369897
sdv-id-152,1.214221101,1.036593337,3.583783317,3.644736207,1.309613339
sdv-id-153,2.034881643,1.460314534,5.69687252,4.721624549,0.77221366
sdv-id-154,2.120456805,1.65553795,5.044735583,2.096777052,0.646486516
sdv-id-155,1.222789462,1.061259154,3.402872154,4.52674024,1.118966343
sdv-id-156,1.550179589,1.865732726,3.82042247,2.761582804,0.509167882
sdv-id-157,3.153539424,2.358907073,5.5224782,1.926548591,1.003796128
sdv-id-158,2.1051825,1.746604398,4.981070116,4.492654164,0.862429567
sdv-id-159,3.00583497,1.822154951,5.728373161,4.55545626,0.750151961
sdv-id-160,2.0101503,1.102286865,4.49844922,3.455582783,0.918598836
sdv-id-161,5.654813336,4.22434455,6.684493997,2.890164304,0.592586424
sdv-id-162,3.78399502,4.334445446,6.069228685,4.757512121,0.739729039
sdv-id-163,2.647987077,3.835002631,5.904581484,6.044323325,0.983037913
sdv-id-164,1.772143493,1.4745623,5.316813939,3.064242544,0.657234832
sdv-id-165,1.584445662,1.12896497,4.855525228,3.875610631,0.811279513
sdv-id-166,2.156215755,1.629432703,5.535892677,3.577690123,0.955881691
sdv-id-167,2.522648,1.793121309,5.072403355,4.781963126,0.679693683
sdv-id-168,2.93235802,1.629570932,6.140858351,5.005220827,1.089080466
sdv-id-169,2.073008546,1.272764027,5.769305401,5.177138918,0.824734087
sdv-id-170,1.490949033,1.014871243,3.573820892,3.009518104,1.056880571
sdv-id-171,5.458955608,4.564018981,6.52353098,4.430327789,0.596359387
sdv-id-172,2.733317654,1.993427439,5.177689254,3.584391037,0.425358016
sdv-id-173,4.886802445,4.050875175,6.400480546,4.815770466,0.655459524
sdv-id-174,1.766223466,1.762116402,5.581647574,4.73700522,1.166764687
sdv-id-175,2.707931046,2.981826577,5.514230417,3.995532974,0.427198516
sdv-id-176,2.554067656,1.90460527,5.949721941,5.342435462,0.739917736
sdv-id-177,2.147850937,2.071003002,5.265051271,5.172912487,0.988329484
sdv-id-178,2.245992416,1.212557672,5.35922762,3.58020154,1.171005919
sdv-id-179,4.685661963,5.361662164,6.249084571,2.861643173,0.105019309
sdv-id-180,3.415263012,4.380851139,5.857043795,4.76927834,0.864369118
sdv-id-181,2.172285978,2.00991457,5.054002384,3.594481622,0.949636648
sdv-id-182,1.356061332,1.254827074,3.746321546,2.558132744,0.980762777
sdv-id-183,2.229305645,1.862970224,5.927136347,2.971898292,0.778036175
sdv-id-184,4.319240447,4.603001102,6.365285691,3.943108076,0.360217152
sdv-id-185,1.878735122,1.144221569,4.328875971,3.301043024,0.915180693
sdv-id-186,2.844679763,2.83526562,5.195305451,2.415179861,0.643079175
sdv-id-187,2.319226937,1.177829201,5.507649081,3.739382013,0.856876779
sdv-id-188,3.495580004,3.282858098,5.83859526,3.765134205,0.96406964
sdv-id-189,1.998659276,1.05839523,4.620194329,2.382936898,1.063633481
sdv-id-190,2.010902318,1.109301096,4.472382015,3.587684818,1.145622046
sdv-id-191,1.925674921,1.299208534,5.042490612,3.123904363,1.186363556
sdv-id-192,2.301846988,1.700164264,5.170834915,2.296940709,0.828614455
sdv-id-193,1.770786046,1.249869685,4.604588566,3.23564238,1.18077284
sdv-id-194,1.700564335,1.582395031,4.372549444,3.852442991,0.872975351
sdv-id-195,2.478300571,3.79476574,6.216805052,4.286529405,0.89408418
sdv-id-196,1.918473996,1.221492201,4.889120867,3.032636399,0.879844368
sdv-id-197,1.585780779,1.37976176,4.200592437,3.755374816,1.160217412
sdv-id-198,2.868093075,1.720232121,5.231046599,3.619725523,0.904035348
sdv-id-199,1.917493329,2.772086469,4.723594899,3.622706296,1.122027314
sdv-id-200,1.653915652,1.324765016,4.561853679,4.159900071,1.062672343
sdv-id-201,2.026007237,2.7595864,5.208975442,2.828260396,0.612700276
sdv-id-202,4.386179298,4.135965888,6.483971813,4.889609631,1.036309445
sdv-id-203,1.775826881,1.202345119,5.396560805,5.130853816,1.159102396
sdv-id-204,4.057360834,3.897244317,6.251538406,4.432211218,0.713485142
sdv-id-205,4.166122562,2.763643458,6.079317592,2.380875148,0.611610926
sdv-id-206,1.88465202,1.16809882,4.48459215,3.340815104,0.994911153
sdv-id-207,2.385743288,2.331020011,5.171162477,3.777213059,0.885743566
sdv-id-208,2.5461202,2.708258406,5.129304075,4.845821432,0.788339034
sdv-id-209,4.566848694,4.891562697,6.530824518,4.358378907,0.662843797
sdv-id-210,1.184149281,1.177654939,2.927196704,5.25521294,1.124102889
sdv-id-211,2.862054012,1.47226732,5.242931388,4.317683109,0.816398553
sdv-id-212,4.522194156,4.426479356,6.284718695,3.448398347,0.024063031
sdv-id-213,3.405712357,2.738545673,6.195749237,3.610371756,0.844813226
sdv-id-214,1.79179373,1.533822443,5.222103233,5.11191421,1.217289961
sdv-id-215,1.924425319,1.171936267,5.196114114,3.366421544,1.183911332
sdv-id-216,2.669715657,3.582179397,5.900565718,5.206517257,1.087216593
sdv-id-217,1.577215976,2.093049426,4.20415389,3.077339713,1.12791997
sdv-id-218,1.194484965,1.010326429,2.982882452,4.005238586,1.229371102
sdv-id-219,1.438315278,1.219116347,3.422880774,2.626033092,0.758199921
sdv-id-220,1.191438613,1.011897195,2.791153407,4.182417628,0.796150803
sdv-id-221,1.395560452,1.42410618,3.682864954,4.713176555,1.114480855
sdv-id-222,1.290352097,1.426865086,3.217980952,2.353434366,0.844181198
sdv-id-223,3.122637426,3.348898247,6.059037273,4.502161046,0.769605615
sdv-id-224,2.715033429,2.984863783,5.186519519,4.168087221,0.846431849
sdv-id-225,1.267888963,1.58350935,3.805799202,3.389485854,1.226519209
sdv-id-226,1.375829261,1.075604328,3.812588334,3.825268104,1.114344064
sdv-id-227,1.219006802,1.076986462,3.186016615,3.777548615,1.070874676
sdv-id-228,2.178821698,1.812036559,5.860082222,4.63119188,1.123843578
sdv-id-229,2.368397226,1.161120123,5.478771119,3.432609355,0.906685641
sdv-id-230,1.514289976,1.409533054,4.397329306,4.187483293,1.168937636
sdv-id-231,4.851607768,4.576263649,6.53861412,3.480276097,0.571335651
sdv-id-232,1.841958275,1.030080559,4.611029168,2.171678093,0.992807115
sdv-id-233,3.018127929,1.912309664,5.916700877,4.891337857,1.016975452
sdv-id-234,3.49286822,2.824845377,5.725872601,4.488037963,0.872961853
sdv-id-235,2.419734897,1.858646208,5.568678688,3.868061164,0.941083763
sdv-id-236,1.379740817,1.106962887,2.808940353,3.306277997,1.02717731
sdv-id-237,2.732265102,2.208745712,5.276203622,3.008483395,1.056744632
sdv-id-238,2.199170132,2.229650684,5.708757062,6.138088835,0.980210685
sdv-id-239,2.642843038,2.505170741,5.962340936,2.894384679,0.654451017
sdv-id-240,1.660571637,2.399400903,4.38881379,4.355583252,0.943296865
sdv-id-241,2.136144991,3.564979682,4.371422362,4.640532806,1.185220185
sdv-id-242,1.236903971,1.194449635,3.244617786,3.273982526,1.178886351
sdv-id-243,3.7817639,1.482279162,6.317863337,3.189352063,0.849153383
sdv-id-244,4.416112917,3.125543361,5.695191792,1.543254093,0.796950642
sdv-id-245,1.817011693,1.387221884,4.952767603,5.565184196,1.094810648
sdv-id-246,1.235738657,1.236896172,2.784522449,2.785049856,0.846605268
sdv-id-247,2.680028005,2.457403291,6.096343004,4.135284657,0.967468975
sdv-id-248,2.048232315,1.618319727,5.071586024,6.23973682,0.852272475
sdv-id-249,4.887422129,5.865995367,6.528343418,3.971354129,0.975082298
sdv-id-250,2.847896128,1.528786405,5.623751359,3.886837553,1.130082748
sdv-id-251,2.062169234,1.454308298,4.923866241,4.071038292,0.899922436
sdv-id-252,2.488044572,2.083852839,5.83692774,5.117094562,0.912697155
sdv-id-253,2.768227316,2.638543331,5.669931059,3.127850289,0.780192204
sdv-id-254,1.884405195,1.871711064,3.995808984,3.132362179,1.148895877
sdv-id-255,1.842514718,2.041040181,4.761940385,2.790925373,0.994523516
sdv-id-256,1.345459788,1.367212807,4.318306172,5.162089102,1.202331864
sdv-id-257,2.520811089,2.312845569,5.611963197,5.007597018,0.990211307
sdv-id-258,3.523048703,2.791210068,6.43933619,3.960020226,0.874466968
sdv-id-259,2.301991379,1.582251357,5.288624162,3.60966649,1.042261802
sdv-id-260,2.559738818,2.540005862,4.92160805,3.967276021,0.893953101
sdv-id-261,3.367547915,2.906420478,5.986631813,3.886500122,0.905419456
sdv-id-262,2.37074844,2.080517464,5.263059453,4.262702799,1.114747758
sdv-id-263,1.632049644,1.756087733,5.005364436,4.199388379,0.915539903
sdv-id-264,3.97472965,2.612566627,6.343473403,3.800351902,0.702531971
sdv-id-265,2.800175682,1.131702458,5.170491826,3.192408946,1.007917161
sdv-id-266,2.42527256,1.891170735,5.435717507,3.554225529,0.760378528
sdv-id-267,1.852222355,1.264845153,5.12459614,2.216303642,0.569386652
